Variant_SKU,Product_Name,Pricing_Plan,Ships,Delivered,Delivered_%,Avg_Product_Margin
SI36454,Roof Star Projector Light ,Delivery,1,0,0.0%,90
SI36352,Multipurpose Plastic Kitchen Sink Organizer Corner,Delivery,1,0,0.0%,90
SI24642,4 in 1 Portable Electric Vegetable Cutter Set,Delivery,1,1,100.0%,90
SI44370,Ambient Lighting Atmosphere Car Led Interior Strip Light Sewing Edge Decoration,Delivery,1,0,0.0%,90
SI51200,Men Air Force Sneakers ( black - 2nd copy ),Delivery,1,0,0.0%,120
SI51195,Men Air Force Sneakers ( white - 2nd copy ),Delivery,1,0,0.0%,200
SI51191,Digital Measuring Spoons With Scale,Delivery,1,0,0.0%,70
SI51142,3D Galaxy Crystal Ball Night Light,Delivery,1,1,100.0%,172
SI51225,"Natural Micro-Molecularized Beeswax Spray, Furniture Polish and Cleaner for Wood (Pack of 1)",Delivery,1,0,0.0%,116
SI44338,Women's Art Silk Printed Saree ( Peach ),Delivery,1,0,0.0%,90
SI44557,"Vegetable Cutter Safe Vegetable Slicer, Eroshoo Food Chopper Vegetable Chopper 5 Blades",Delivery,1,0,0.0%,120
SI44678,"Rosemary Water, Hair Spray For Regrowth (Pack of 2)",Delivery,1,0,0.0%,90
SI53086,Gas Saver Burner Stand,Delivery,1,1,100.0%,100
SI52993,2 in 1 Glass Oil Dispenser Bottle ( Pack of 2 ),Delivery,1,0,0.0%,130
SI52864,Large Capacity Multifunctional Mop Rack - Wall Mounted Organizer with 4 Ball Slots,Delivery,1,0,0.0%,100
SI52072,NIKE AIR JORDAN 1 Chicago Shoe ( 2nd copy ),Delivery,1,0,0.0%,130
SI51797,Wireless Motion Sensor Lights for The Home (Pack of 2),Delivery,1,0,0.0%,100
SI51670,Eye beauty instrument rotatable EMS heating eye cream electric beauty pen,Dispatch,1,1,100.0%,10
SI51618,Thong Panties for Women with Initials ( Pack of 1 ),Delivery,1,0,0.0%,207
