Order_ID,Order_number,User_id,Order_Created_Date,Order_Status,Order_date,Order_Approved_Date,Purchase_Order_Status,Purchase_Order_Created_Date,Purchase_Order_ID,Shipment_Date,AWB,Tracking_Status
6795987,#UNI1026,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159311,rto delivered
6795988,#UNI1027,8941,2024-07-29,booked,2024-07-29,2024-07-29,new,30-07-2024,94,2024-07-30,80562159300,rto delivered
6795988,#UNI1027,8941,2024-07-29,booked,2024-07-29,2024-07-29,booked,30-07-2024,95,2024-07-30,80562159300,rto delivered
6802437,#FF8603,8372,2024-07-30,booked,2024-07-30,2024-07-30,booked,30-07-2024,97,2024-08-09,80570754633,rto delivered
6803471,#FF8605,8372,2024-07-30,booked,2024-07-30,2024-07-30,booked,30-07-2024,99,2024-08-09,81748092904,delivered
6824230,#1010,8557,2024-07-31,booked,2024-07-31,2024-07-31,booked,31-07-2024,100,2024-08-14,80574531601,rto in transit
6830246,#1,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000504660,delivered
6830248,#2,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000503923,delivered
6830250,#3,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000503886,delivered
6830252,#4,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000500434,delivered
6830254,#5,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000500640,delivered
6830256,#6,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000504711,delivered
6830258,#7,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000504227,delivered
6830260,#8,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000504566,delivered
6830263,#9,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000502768,delivered
6830265,#10,7602,2024-07-31,booked,2024-07-31,2024-08-07,booked,31-07-2024,101,2024-08-14,SHBP7000504382,delivered
6831862,#FF8641,8372,2024-07-31,booked,2024-07-31,2024-08-01,new,02-08-2024,104,2024-08-14,80574570683,delivered
6831862,#FF8641,8372,2024-07-31,booked,2024-07-31,2024-08-01,booked,02-08-2024,107,2024-08-14,80574570683,delivered
6834285,#1015,8557,2024-07-31,booked,2024-07-31,2024-07-31,new,02-08-2024,102,2024-08-17,80577462803,rto in transit
6834285,#1015,8557,2024-07-31,booked,2024-07-31,2024-07-31,booked,02-08-2024,108,2024-08-17,80577462803,rto in transit
